2024-01-01 11:05:41.056 [info] Log level: Info
2024-01-01 11:05:41.056 [info] Validating found git in: "git"
2024-01-01 11:05:41.056 [info] Using git "2.43.0" from "git"
2024-01-01 11:05:41.056 [info] > git rev-parse --show-toplevel [2ms]
2024-01-01 11:05:41.057 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:05:49.797 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:05:52.689 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:05:54.346 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:06:00.201 [info] > git rev-parse --show-toplevel [2ms]
2024-01-01 11:06:01.474 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:06:02.729 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:06:04.082 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 11:06:06.405 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:43.664 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:45.113 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:46.606 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:48.049 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:49.262 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:08:50.534 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:11:42.389 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:11:43.737 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:11:45.121 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:11:46.542 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:11:48.102 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:11:49.998 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:26.577 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:12:27.967 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:29.227 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:30.575 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:31.773 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:33.157 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:57.250 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:58.324 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:12:59.609 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:01.093 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:02.596 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:04.592 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:08.975 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:10.042 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:14.121 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:13:14.518 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:13:14.919 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:15.441 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:16.202 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:13:16.859 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:50.641 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:52.267 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:54.079 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:55.280 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:56.460 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:13:58.024 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:14:41.501 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:14:42.630 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:14:43.900 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:14:45.229 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:14:46.664 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:14:48.279 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:15:22.281 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:15:23.864 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:15:24.943 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:15:26.176 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:15:27.099 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:15:28.355 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:28:52.289 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:28:53.189 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:28:54.593 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:28:56.044 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:28:57.632 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:00.013 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:29:11.917 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:13.737 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:15.521 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:17.354 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:18.604 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:19.953 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:34.851 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:36.296 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:37.570 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:29:39.004 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:40.656 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:29:42.260 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:50.810 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:31:52.251 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:53.553 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:54.720 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:55.769 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:56.987 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:32:27.787 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:28.934 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:30.393 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:31.819 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:33.303 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:35.068 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:57.927 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:59.462 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:00.792 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:33:02.134 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:03.183 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:04.379 [info] > git rev-parse --show-toplevel [1ms]
